"Date","Species","harvest"
2017-12-18,"Bis",1
2018-01-18,"Bis",1
2018-03-09,"Bis",1
2018-05-15,"Bis",1
2018-05-16,"Bis",1
2018-10-05,"Bis",1
2018-11-16,"Bis",1
2018-11-19,"Bis",1
2018-12-05,"Bis",1
2019-02-21,"Bis",1
2019-03-07,"Bis",1
2019-04-18,"Bis",1
2019-05-23,"Bis",1
2019-05-23,"Bis",1
2019-05-27,"Bis",1
2019-08-20,"Bis",1
2019-08-21,"Bis",1
2019-09-30,"Bis",1
2019-09-30,"Bis",1
2019-11-19,"Bis",1
2020-01-16,"Bis",1
2020-02-27,"Bis",1
2017-11-21,"Dig",1
2017-12-18,"Dig",1
2018-01-18,"Dig",1
2018-03-02,"Dig",1
2018-03-09,"Dig",1
2018-05-15,"Dig",1
2018-05-16,"Dig",1
2018-10-05,"Dig",1
2018-11-16,"Dig",1
2018-11-19,"Dig",1
2018-11-22,"Dig",1
2018-11-23,"Dig",1
2019-02-21,"Dig",1
2019-03-07,"Dig",1
2019-03-13,"Dig",1
2019-04-18,"Dig",1
2019-05-16,"Dig",1
2019-05-23,"Dig",1
2019-05-27,"Dig",1
2019-08-21,"Dig",1
2019-09-30,"Dig",1
2019-10-03,"Dig",1
2019-11-11,"Dig",1
2019-11-19,"Dig",1
2020-01-16,"Dig",1
2020-02-27,"Dig",1
2018-10-05,"DigBis",1
2018-11-16,"DigBis",1
2018-11-19,"DigBis",1
2019-02-21,"DigBis",1
2019-03-07,"DigBis",1
2019-04-18,"DigBis",1
2019-05-23,"DigBis",1
2019-05-27,"DigBis",1
2019-08-21,"DigBis",1
2019-09-30,"DigBis",1
2019-11-19,"DigBis",1
2020-01-16,"DigBis",1
2020-02-27,"DigBis",1
2017-11-13,"Fes",1
2017-11-14,"Fes",1
2017-11-24,"Fes",1
2018-01-10,"Fes",1
2018-01-17,"Fes",1
2018-03-01,"Fes",1
2018-03-02,"Fes",1
2018-05-15,"Fes",1
2018-05-16,"Fes",1
2018-10-09,"Fes",1
2018-11-21,"Fes",1
2018-11-22,"Fes",1
2019-02-07,"Fes",1
2019-05-28,"Fes",1
2019-08-20,"Fes",1
2019-08-21,"Fes",1
2019-10-08,"Fes",1
2019-11-18,"Fes",1
2018-01-10,"Kan",1
2018-01-17,"Kan",1
2018-05-15,"Kan",1
2018-05-16,"Kan",1
2018-11-13,"Kan",1
2018-11-15,"Kan",1
2018-11-22,"Kan",1
2018-11-29,"Kan",1
2018-11-30,"Kan",1
2019-02-28,"Kan",1
2019-03-21,"Kan",1
2019-04-05,"Kan",1
2019-05-22,"Kan",1
2019-05-24,"Kan",1
2019-05-28,"Kan",1
2019-05-29,"Kan",1
2019-08-15,"Kan",1
2019-08-16,"Kan",1
2019-08-19,"Kan",1
2019-10-03,"Kan",1
2019-10-04,"Kan",1
2019-11-13,"Kan",1
2019-11-14,"Kan",1
2020-01-30,"Kan",1
2018-11-22,"KanWal",1
2018-11-29,"KanWal",1
2018-11-30,"KanWal",1
2019-03-21,"KanWal",1
2019-05-24,"KanWal",1
2019-05-28,"KanWal",1
2019-05-29,"KanWal",1
2019-08-15,"KanWal",1
2019-08-16,"KanWal",1
2019-10-04,"KanWal",1
2019-11-13,"KanWal",1
2017-11-20,"Luc",1
2018-01-10,"Luc",1
2018-01-29,"Luc",1
2018-01-30,"Luc",1
2018-03-22,"Luc",1
2018-03-23,"Luc",1
2018-05-15,"Luc",1
2018-05-16,"Luc",1
2018-08-21,"Luc",1
2018-08-22,"Luc",1
2018-10-09,"Luc",1
2018-11-14,"Luc",1
2018-11-15,"Luc",1
2019-01-24,"Luc",1
2019-03-13,"Luc",1
2019-05-15,"Luc",1
2019-08-16,"Luc",1
2019-10-02,"Luc",1
2019-11-15,"Luc",1
2020-01-09,"Luc",1
2020-02-20,"Luc",1
2020-02-21,"Luc",1
2018-10-16,"Pha",1
2018-10-17,"Pha",1
2018-11-27,"Pha",1
2018-11-30,"Pha",1
2018-11-30,"Pha",1
2019-04-11,"Pha",1
2019-05-21,"Pha",1
2019-08-14,"Pha",1
2019-08-15,"Pha",1
2019-10-02,"Pha",1
2017-11-24,"Pha",1
2017-12-18,"Pha",1
2018-01-10,"Pha",1
2018-11-22,"Pha",1
2019-11-21,"Pha",1
2017-11-03,"Pha",1
2017-11-06,"Pha",1
2017-11-08,"Pha",1
2017-11-24,"Pha",1
2017-12-11,"Pha",1
2017-12-12,"Pha",1
2017-12-18,"Pha",1
2018-01-10,"Pha",1
2018-02-22,"Pha",1
2018-02-23,"Pha",1
2018-05-15,"Pha",1
2018-05-16,"Pha",1
2018-11-19,"Pha",1
2018-11-22,"Pha",1
2018-11-27,"Pha",1
2018-11-29,"Pha",1
2018-11-30,"Pha",1
2018-11-30,"Pha",1
2019-10-02,"Pha",1
2018-10-08,"PhaSub",1
2018-11-19,"PhaSub",1
2018-11-20,"PhaSub",1
2018-11-29,"PhaSub",1
2018-11-30,"PhaSub",1
2019-05-17,"PhaSub",1
2019-05-20,"PhaSub",1
2019-05-21,"PhaSub",1
2019-08-22,"PhaSub",1
2019-08-23,"PhaSub",1
2019-10-09,"PhaSub",1
2019-11-20,"PhaSub",1
2017-11-06,"PhaSub",1
2017-11-08,"PhaSub",1
2017-11-24,"PhaSub",1
2017-12-11,"PhaSub",1
2017-12-12,"PhaSub",1
2018-01-10,"PhaSub",1
2018-02-22,"PhaSub",1
2018-02-23,"PhaSub",1
2018-05-15,"PhaSub",1
2018-05-16,"PhaSub",1
2018-06-28,"PhaSub",1
2018-06-29,"PhaSub",1
2017-11-21,"Rho",1
2017-12-18,"Rho",1
2018-01-18,"Rho",1
2018-03-08,"Rho",1
2018-05-15,"Rho",1
2018-05-16,"Rho",1
2018-10-10,"Rho",1
2018-10-12,"Rho",1
2018-11-22,"Rho",1
2018-11-27,"Rho",1
2019-01-17,"Rho",1
2019-01-24,"Rho",1
2019-03-28,"Rho",1
2019-05-20,"Rho",1
2019-10-03,"Rho",1
2019-11-22,"Rho",1
2020-01-09,"Rho",1
2020-02-27,"Rho",1
2017-11-02,"Rye",1
2017-11-24,"Rye",1
2018-03-29,"Rye",1
2018-05-15,"Rye",1
2018-05-16,"Rye",1
2018-08-16,"Rye",1
2018-10-10,"Rye",1
2018-10-11,"Rye",1
2018-11-12,"Rye",1
2018-11-13,"Rye",1
2018-12-03,"Rye",1
2019-05-22,"Rye",1
2019-05-23,"Rye",1
2019-08-13,"Rye",1
2019-09-30,"Rye",1
2019-10-02,"Rye",1
2018-01-10,"Wal",1
2018-01-17,"Wal",1
2018-05-15,"Wal",1
2018-05-16,"Wal",1
2018-11-22,"Wal",1
2018-11-27,"Wal",1
2018-11-29,"Wal",1
2018-11-30,"Wal",1
2018-11-30,"Wal",1
2019-03-21,"Wal",1
2019-03-28,"Wal",1
2019-03-29,"Wal",1
2019-05-16,"Wal",1
2019-05-24,"Wal",1
2019-05-28,"Wal",1
2019-05-29,"Wal",1
2019-08-15,"Wal",1
2019-08-16,"Wal",1
2019-08-19,"Wal",1
2019-10-04,"Wal",1
2019-10-08,"Wal",1
2019-11-13,"Wal",1
2019-11-21,"Wal",1
2019-11-22,"Wal",1
